post_number,post_title,post_url,post_date,application_date
101,[민간임대] 상봉역 제이스타상봉 입주자 추가모집공고문,https://soco.seoul.go.kr/youth/bbs/BMSR00015/view.do?boardId=6147&menuNo=400008&pageIndex=1&searchCondition=&searchKeyword=,2024-12-17,2024-12-17
100,[민간임대] 가좌역 스타타워 입주자 추가모집공고문,https://soco.seoul.go.kr/youth/bbs/BMSR00015/view.do?boardId=6142&menuNo=400008&pageIndex=1&searchCondition=&searchKeyword=,2024-12-03,2024-12-04
99,[민간임대] 태릉입구역 이니티움 입주자 추가모집공고문,https://soco.seoul.go.kr/youth/bbs/BMSR00015/view.do?boardId=6137&menuNo=400008&pageIndex=1&searchCondition=&searchKeyword=,2024-11-20,2024-11-25
98,[민간임대] 구산역 구산주택 입주자 추가모집공고문,https://soco.seoul.go.kr/youth/bbs/BMSR00015/view.do?boardId=6134&menuNo=400008&pageIndex=1&searchCondition=&searchKeyword=,2024-11-18,2024-11-18
97,[민간임대] 상봉역 상봉동양엔파트 입주자 추가모집공고문,https://soco.seoul.go.kr/youth/bbs/BMSR00015/view.do?boardId=6124&menuNo=400008&pageIndex=1&searchCondition=&searchKeyword=,2024-10-23,2024-10-28
96,[민간임대] 고려대역 리스트 안암(LIST ANAM) 입주자 모집공고문,https://soco.seoul.go.kr/youth/bbs/BMSR00015/view.do?boardId=6118&menuNo=400008&pageIndex=1&searchCondition=&searchKeyword=,2024-09-30,2024-10-10
95,[민간임대] 연신내역 Lumino 816 (루미노 816) 입주자 모집공고문,https://soco.seoul.go.kr/youth/bbs/BMSR00015/view.do?boardId=6115&menuNo=400008&pageIndex=1&searchCondition=&searchKeyword=,2024-09-23,2024-10-03
94,[민간임대] 상봉역 제이스타상봉 입주자 추가모집공고문,https://soco.seoul.go.kr/youth/bbs/BMSR00015/view.do?boardId=6112&menuNo=400008&pageIndex=1&searchCondition=&searchKeyword=,2024-08-30,2024-08-30
93,[민간임대] 서울대벤처타운역 센터스퀘어 서울대점 입주자 모집공고문,https://soco.seoul.go.kr/youth/bbs/BMSR00015/view.do?boardId=6111&menuNo=400008&pageIndex=1&searchCondition=&searchKeyword=,2024-08-26,2024-09-05
102,[민간임대] 건대입구역 더포디엄860 입주자 모집공고문,https://soco.seoul.go.kr/youth/bbs/BMSR00015/view.do?boardId=6149&menuNo=400008&pageIndex=1&searchCondition=&searchKeyword=,2024-12-20,2024-12-30
105,[민간임대] 숭곡초교역(예정) 성북 펠릭스 입주자 모집공고문,https://soco.seoul.go.kr/youth/bbs/BMSR00015/view.do?boardId=6150&menuNo=400008&pageIndex=1&searchCondition=&searchKeyword=,2024-12-23,2025-01-02
104,[공공임대] 2024년 3차 청년안심주택 입주자 모집공고문,https://soco.seoul.go.kr/youth/bbs/BMSR00015/view.do?boardId=6152&menuNo=400008&pageIndex=1&searchCondition=&searchKeyword=,2024-12-23,2025-01-02
103,[민간임대] 장한평역 장안동 하트리움 입주자 모집공고문,https://soco.seoul.go.kr/youth/bbs/BMSR00015/view.do?boardId=6151&menuNo=400008&pageIndex=1&searchCondition=&searchKeyword=,2024-12-23,2025-01-03
